title,price,seo_score,photos_count,tags_count,description_length,priority,estimated_impact,keyword_opportunities
Currently Clean on OPSEC Embroidered Hat | Rogue Bureaucrat Satire | Snarky Dad Cap | Political Irony Gift,20.0,60.0,8,9,1688,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Currently Clean on OPSEC Sticker | Ironic Gov Scandal Decal | Political Satire | Cybersecurity Meme | Rogue Bureaucrat Gift,5.5,60.0,10,9,789,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Foxtrot Delta Tango Bumper Sticker – Dancing Fox Protest | Cheeky Political Art | Bumper Sticker,10.0,60.0,2,10,814,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Foxtrot Delta Tango Calligraphy Shirt – Subtle Protest Tee | Elegant Script Statement | Political Art Shirt | FDT T-Shirt,15.0,80.0,8,11,1445,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
"Foxtrot Delta Tango Sticker – Dancing Fox Protest Decal | Cheeky Political Art | Waterproof Vinyl for Laptop, Journal, or Water Bottle",5.5,60.0,10,9,793,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Foxtrot Delta Tango T-Shirt – Dancing Fox Protest Tee | Cheeky Political Slogan Shirt | Anthropomorphic Foxes in Delta Triangle,15.0,60.0,9,7,1424,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Rogue Bureaucrat - Mug,9.5,80.0,10,11,1320,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Currently Clean on OPSEC - T-shirt,15.0,80.0,6,12,767,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Dissent Defy Resist Persist Vote T-Shirt | Fuel the Fire Protest Shirt | Political Activism Tee | Civil Rights Graphic Shirt,15.0,70.0,3,12,1467,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
USAID Rogue Bureaucrat T-Shirt | Political Activist Tee | Government Protest Shirt | Foreign Service Political Statement Apparel,21.0,100.0,9,13,2124,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Public Service is a Public Good - Reclaim the Red Hat,18.0,60.0,5,9,695,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Public Service is a Public Good - Can-shaped glass,14.5,60.0,6,9,312,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Rogue Bureaucrat Embroidered Hat - Take Back The Hat | Funny Political Statement Cap | Adjustable Cotton Dad Hat,18.0,100.0,9,13,1315,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Rogue Bureaucrat - Can-shaped glass,14.5,55.0,6,8,296,High,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Public Service is a Public Good,15.0,80.0,8,11,873,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
Rogue Bureaucrat - Universal Federal Service Activist Tee (No Seal) | Government Worker Protest T-Shirt | Unisex Political Statement Apparel,15.0,90.0,10,13,1852,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
"Printable DnD 5e Healing Potion Cards – Standard, Greater, Superior – Digital Download",3.0,90.0,4,13,1048,Medium,10-25% increase in views,Add specific material/color descriptors; Include size/dimension information; Add seasonal/occasion keywords; Include style/aesthetic descriptors
